BuildingGUID,GUID,IfcClass,Nl-sfb,Material,TaskID,Resource,TaskName,TaskStart,TaskFinish,Element on time or not
2CKEPCy9T9zQMKorZoDrni,3iHy1LOhfAtfLt80$LZBqn,IfcSlab,1320_vloeren op grondslag - constructief,IFC_betonvloer_ihw_300mm,ST00060,liftputvloer_(#5715),Stellen bruggetjes,26-2-2015,27-2-2015,On time
2CKEPCy9T9zQMKorZoDrni,3iHy1LOhfAtfLt80$LZBqn,IfcSlab,1320_vloeren op grondslag - constructief,IFC_betonvloer_ihw_300mm,ST00070,liftputvloer_(#5715),Nuts invoeren,2-3-2015,4-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3iHy1LOhfAtfLt80$LZBqn,IfcSlab,1320_vloeren op grondslag - constructief,IFC_betonvloer_ihw_300mm,ST00080,liftputvloer_(#5715),Werkvloer liftput,3-3-2015,3-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3iHy1LOhfAtfLt80$LZBqn,IfcSlab,1320_vloeren op grondslag - constructief,IFC_betonvloer_ihw_300mm,ST00100,liftputvloer_(#5715),Bekisten liftvloer,4-3-2015,4-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3iHy1LOhfAtfLt80$LZBqn,IfcSlab,1320_vloeren op grondslag - constructief,IFC_betonvloer_ihw_300mm,ST00090,liftputvloer_(#5715),Wapening liftvloer,4-3-2015,4-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3iHy1LOhfAtfLt80$LZBqn,IfcSlab,1320_vloeren op grondslag - constructief,IFC_betonvloer_ihw_300mm,ST00110,liftputvloer_(#5715),Stort liftvloer,5-3-2015,5-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,0n3uFweoDDvekPpYzTttt4,IfcWall,2220_binnenwanden - constructief,IFC_kalkzandsteen_120mm,ST00130,binnenwand_(#44016),Bekisten liftwanden,6-3-2015,6-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2rxEfS5c1BRBMAjC9Weumf,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_620x965,ST00130,liftputwand_(#1315),Bekisten liftwanden,6-3-2015,6-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2Y$eh0ohrDEepO4_LPdoEr,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_300x650,ST00130,liftputwand_(#1963),Bekisten liftwanden,6-3-2015,6-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1naZcReNz7PvhQAmj6Jq3I,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x345,ST00130,liftputwand_(#4278),Bekisten liftwanden,6-3-2015,6-3-2015,On time
